DISTRICTE,date,source,value,window_7d_mean,window_30d_mean,District
07,2018-01-21,vri,0.0366871867016589,0.0314958197005381,0.0304184595367621,Horta-Guinardó
06,2018-01-21,vri,0.0583811010995501,0.0499712302239246,0.0482526799954117,Gràcia
02,2018-01-21,vri,0.050192460388593,0.0429623204996618,0.0415146580233099,Eixample
01,2018-01-21,vri,0.0397356614706392,0.0340625266809808,0.0329067441752566,Ciutat Vella
08,2018-01-21,vri,0.0313657311056849,0.0268906409679615,0.0259764529871113,Nou Barris
10,2018-01-21,vri,0.041768643509483,0.0357406727350919,0.0345000708580746,Sant Martí
09,2018-01-21,vri,0.0288323719124101,0.0247084260547993,0.023838950404374,Sant Andreu
05,2018-01-22,vri,0.0237962360689542,0.0245405892905301,0.0237845074661945,Sarrià-Sant Gervasi
03,2018-01-22,vri,0.0277384652527373,0.0285778011196774,0.0277023478569421,Sants-Montjuïc
04,2018-01-22,vri,0.0466999422607648,0.0481697760300888,0.0467144874164453,Les Corts
07,2018-01-22,vri,0.0303823072975261,0.0313708309431181,0.0304003828427546,Horta-Guinardó
06,2018-01-22,vri,0.0481930171807183,0.0497584604836081,0.0482280351661863,Gràcia
02,2018-01-22,vri,0.0414296230859444,0.0428006335106849,0.0414840079235465,Eixample
01,2018-01-22,vri,0.0329921566577961,0.0339354930317985,0.0328814787147501,Ciutat Vella
08,2018-01-22,vri,0.0259864825396951,0.0268043485754745,0.0259591883673053,Nou Barris
10,2018-01-22,vri,0.0345133207650806,0.0356094454920183,0.0344761530883563,Sant Martí
09,2018-01-22,vri,0.023874255038436,0.0246214484850381,0.0238205585110382,Sant Andreu
05,2018-01-23,vri,0.0242500312826743,0.0246942155522611,0.023785169297262,Sarrià-Sant Gervasi
03,2018-01-23,vri,0.0282308372215375,0.0287423419970307,0.0277013744657432,Sants-Montjuïc
04,2018-01-23,vri,0.047528209854519,0.0484517536244727,0.0467297253909708,Les Corts
07,2018-01-23,vri,0.0309826754469758,0.0315574603638453,0.0303968393099401,Horta-Guinardó
06,2018-01-23,vri,0.0492048941027304,0.0500725660309302,0.0482262261949026,Gràcia
02,2018-01-23,vri,0.0423233716099134,0.0430700242766009,0.0414953871620522,Eixample
01,2018-01-23,vri,0.0334799363050896,0.0341576166368185,0.0328788241313389,Ciutat Vella
08,2018-01-23,vri,0.0265577538368958,0.0269718885904539,0.0259529274086027,Nou Barris
10,2018-01-23,vri,0.0352014804191368,0.0358331783009517,0.0344766228937617,Sant Martí
09,2018-01-23,vri,0.0243747426361869,0.0247763757442299,0.0238137594992757,Sant Andreu
05,2018-01-24,vri,0.02401394895765,0.0246373280205079,0.0237415545130021,Sarrià-Sant Gervasi
03,2018-01-24,vri,0.0279092712676261,0.0287061107535362,0.0276506474019188,Sants-Montjuïc
04,2018-01-24,vri,0.0471240870590639,0.0483369977743548,0.0466469781605524,Les Corts
07,2018-01-24,vri,0.0306848709737303,0.0314807880487485,0.0303432007491419,Horta-Guinardó
06,2018-01-24,vri,0.0487000043916131,0.0499403728596558,0.0481351444872018,Gràcia
02,2018-01-24,vri,0.0419384033227847,0.0429810756111471,0.0414213080149144,Eixample
01,2018-01-24,vri,0.0332468553863043,0.0340834224797547,0.0328162479075959,Ciutat Vella
08,2018-01-24,vri,0.0262032142815474,0.0269191184843359,0.0259073338820748,Nou Barris
10,2018-01-24,vri,0.034879742455263,0.0357501497709883,0.0344089643732386,Sant Martí
09,2018-01-24,vri,0.0240873617401983,0.0247346633846991,0.0237659388708127,Sant Andreu
05,2018-01-25,vri,0.0235804028793915,0.0239229752017858,0.0237337726000058,Sarrià-Sant Gervasi
03,2018-01-25,vri,0.0274395523654541,0.0278761739054298,0.0276381226139529,Sants-Montjuïc
04,2018-01-25,vri,0.0461408825294462,0.0469662249059478,0.0466339644316753,Les Corts
07,2018-01-25,vri,0.0301669538024288,0.0305768376243933,0.0303328869260888,Horta-Guinardó
06,2018-01-25,vri,0.0476754784586335,0.0484824050272457,0.0481184753154916,Gràcia
02,2018-01-25,vri,0.0410543209115247,0.0417527561366773,0.0414099022781138,Eixample
01,2018-01-25,vri,0.03253826982936,0.0331391002394485,0.0327994490341232,Ciutat Vella
08,2018-01-25,vri,0.0258059999732036,0.026142917935123,0.0258951563254132,Nou Barris
10,2018-01-25,vri,0.0341571764122255,0.0347146872048288,0.0343943632601095,Sant Martí
09,2018-01-25,vri,0.0237245008572034,0.0240218938372284,0.023751009459609,Sant Andreu
05,2018-01-26,vri,0.0244927536445192,0.0239124671630241,0.0237213759591654,Sarrià-Sant Gervasi
03,2018-01-26,vri,0.028577721265051,0.0278476831904625,0.0276203790918489,Sants-Montjuïc
04,2018-01-26,vri,0.0481660635883802,0.0469490781041008,0.0466017761564413,Les Corts
07,2018-01-26,vri,0.0313129020945421,0.0305661894802326,0.0303137640975487,Horta-Guinardó
06,2018-01-26,vri,0.049677239322498,0.0484727637574193,0.0480965032292233,Gràcia
